show_id,type,$=TRIM(PROPER(C2))$,director,cast,country,date_added,release_year,rating,genres,language,description,popularity,vote_count,vote_average,budget,revenue,Data_Quality_Notes
37958,Movie,Immortals,Tarsem Singh,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto, Luke Evans",United States of America,2011-11-10,2011,6,"Fantasy, Action, Drama",en,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",34.306,2613,6,75000000,226904017,
17578,Movie,The Adventures of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg","New Zealand, United States of America",2011-10-24,2011,6.899,"Adventure, Animation, Mystery",en,"Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",34.144,5430,6.899,130000000,373993951,
44943,Movie,Battle: Los Angeles,Jonathan Liebesman,"Aaron Eckhart, Ramón Rodríguez, Will Rothhaar, Michael Peña, Bridget Moynahan",United States of America,2011-03-08,2011,5.799,"Science Fiction, Action",en,"When once distant UFOs become a terrifying threat and an alien invasion force begins attacking Earths major costal and riverside cities, a U.S Marine staff sergeant and his team are sent into battle only to find they must take it upon themselves to defeat an unknown enemy and protect what remains of Los Angeles.",33.576,3483,5.799,70000000,211800000,
59436,Movie,Midnight in Paris,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller, Adrien Brody","France, Spain, United States of America",2011-05-11,2011,7.5,"Fantasy, Comedy, Romance",en,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",33.362,7336,7.5,17000000,151119219,
75624,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Mie Sonozaki, Masaki Terasoma, Chie Nakamura, Rikiya Koyama",Japan,2011-07-30,2011,7.2,"Thriller, Animation, Action, Comedy, Horror, Mystery",ja,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",33.112,653,7.2,0,9065101,
41630,Movie,No Strings Attached,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig",United States of America,2011-01-21,2011,6.3,"Comedy, Romance",en,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",32.891,4728,6.3,25000000,149200000,
50544,Movie,Friends with Benefits,Will Gluck,"Justin Timberlake, Mila Kunis, Jenna Elfman, Patricia Clarkson, Woody Harrelson",United States of America,2011-07-21,2011,6.7,"Romance, Comedy",en,Dylan is done with relationships. Jamie decides to stop buying into the Hollywood clichés of true love. When the two become friends they decide to try something new and take advantage of their mutual attraction - but without any emotional attachment.,32.042,7987,6.7,35000000,149500000,
55721,Movie,Bridesmaids,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Chris O'Dowd, Wendi McLendon-Covey",United States of America,2011-05-13,2011,6.523,"Comedy, Romance",en,"Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.",31.413,4396,6.523,32500000,288383523,
45612,Movie,Source Code,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright, Michael Arden","Canada, France, United States of America",2011-03-30,2011,7.302,"Thriller, Science Fiction, Mystery",en,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",31.409,8441,7.302,32000000,147332697,
44912,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins",United States of America,2011-06-14,2011,5.2,"Adventure, Action, Thriller, Science Fiction",en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",31.223,7281,5.2,200000000,219851172,
